loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
3577,Kepler-875,b,Kepler-875 b,1286.01,5958.00,1.06,1.11,2016-05-10,2016,Kepler,3
3578,Kepler-876,b,Kepler-876 b,840.34,5060.00,0.81,0.77,2016-05-10,2016,Kepler,3
3579,Kepler-877,b,Kepler-877 b,1283.76,5261.00,0.85,0.81,2016-05-10,2016,Kepler,3
3580,Kepler-878,b,Kepler-878 b,808.50,5044.00,0.81,0.77,2016-05-10,2016,Kepler,3
3581,Kepler-879,b,Kepler-879 b,821.62,5792.00,1.02,1.02,2016-05-10,2016,Kepler,3
3582,KOI-142,d,Kepler-88 d,381.01,5466.00,0.99,0.90,2020-06-04,2020,W. M. Keck Observatory,3
3583,Kepler-880,b,Kepler-880 b,611.85,6761.00,1.46,1.74,2016-05-10,2016,Kepler,3
3584,Kepler-881,b,Kepler-881 b,1431.56,5961.00,1.06,1.09,2016-05-10,2016,Kepler,3
3585,Kepler-882,b,Kepler-882 b,512.04,5476.00,0.90,0.87,2016-05-10,2016,Kepler,3
3586,Kepler-883,b,Kepler-883 b,638.99,6116.00,1.06,1.09,2016-05-10,2016,Kepler,3
3587,Kepler-884,b,Kepler-884 b,323.70,5715.00,1.00,0.94,2016-05-10,2016,Kepler,3
3588,Kepler-885,b,Kepler-885 b,663.71,6187.00,1.21,1.35,2016-05-10,2016,Kepler,3
3589,Kepler-886,b,Kepler-886 b,726.19,6098.00,1.10,1.16,2016-05-10,2016,Kepler,3
3590,Kepler-887,b,Kepler-887 b,909.77,6194.00,1.19,1.29,2016-05-10,2016,Kepler,3
3591,Kepler-887,c,Kepler-887 c,909.77,6194.00,1.19,1.29,2016-05-10,2016,Kepler,3
3592,Kepler-888,b,Kepler-888 b,425.98,5875.00,0.97,0.90,2016-05-10,2016,Kepler,3
3593,Kepler-889,b,Kepler-889 b,608.75,5961.00,1.14,1.25,2016-05-10,2016,Kepler,3
